Quarter,HB,HBT,HBTQF,CancerType,CancerTypeQF,NumberOfEligibleReferrals31DayStandard,NumberOfEligibleReferrals31DayStandardQF,NumberOfEligibleReferralsTreatedWithin31Days,NumberOfEligibleReferralsTreatedWithin31DaysQF
2018Q3,S08000022,S08000031,NA,Lung,NA,1,NA,1,NA
2018Q3,S08000022,S08000031,NA,Lymphoma,NA,2,NA,2,NA
2018Q3,S08000022,S08000031,NA,Melanoma,NA,3,NA,3,NA
2018Q3,S08000022,S08000031,NA,Upper GI,NA,2,NA,2,NA
2018Q3,S08000022,SB0801,NA,Lung,NA,9,NA,9,NA
2018Q3,S08000024,S08000019,NA,Breast,NA,1,NA,1,NA
2018Q3,S08000024,S08000024,NA,Breast,NA,255,NA,252,NA
2018Q3,S08000024,S08000024,NA,Cervical,NA,16,NA,16,NA
2018Q3,S08000024,S08000024,NA,Colorectal,NA,109,NA,102,NA
2018Q3,S08000024,S08000024,NA,Head & Neck,NA,48,NA,48,NA
2018Q3,S08000024,S08000024,NA,Lung,NA,104,NA,104,NA
2018Q3,S08000024,S08000024,NA,Lymphoma,NA,42,NA,42,NA
2018Q3,S08000024,S08000024,NA,Melanoma,NA,38,NA,34,NA
2018Q3,S08000024,S08000024,NA,Ovarian,NA,10,NA,9,NA
2018Q3,S08000024,S08000024,NA,Upper GI,NA,79,NA,79,NA
2018Q3,S08000024,S08000024,NA,Urological,NA,183,NA,155,NA
2018Q3,S08000024,S08000029,NA,Breast,NA,1,NA,1,NA
2018Q3,S08000025,S08000020,NA,Lymphoma,NA,1,NA,1,NA
2018Q3,S08000025,S08000020,NA,Urological,NA,3,NA,2,NA
2018Q3,S08000025,S08000022,NA,Upper GI,NA,1,NA,1,NA
2018Q3,S08000025,S08000025,NA,Colorectal,NA,2,NA,2,NA
2018Q3,S08000025,S08000025,NA,Lung,NA,1,NA,1,NA
2018Q3,S08000025,S08000025,NA,Ovarian,NA,1,NA,1,NA
2018Q3,S08000025,S08000025,NA,Upper GI,NA,1,NA,1,NA
2018Q3,S08000025,S08000025,NA,Urological,NA,1,NA,1,NA
2018Q3,S08000026,S08000020,NA,Cervical,NA,2,NA,2,NA
2018Q3,S08000026,S08000020,NA,Colorectal,NA,1,NA,1,NA
2018Q3,S08000026,S08000020,NA,Lymphoma,NA,1,NA,1,NA
2018Q3,S08000026,S08000020,NA,Upper GI,NA,1,NA,1,NA
2018Q3,S08000026,S08000020,NA,Urological,NA,3,NA,0,NA
2018Q3,S08000026,S08000026,NA,Breast,NA,1,NA,1,NA
2018Q3,S08000026,S08000026,NA,Colorectal,NA,1,NA,1,NA
2018Q3,S08000026,S08000026,NA,Melanoma,NA,2,NA,2,NA
2018Q3,S08000026,S08000026,NA,Ovarian,NA,1,NA,1,NA
2018Q3,S08000026,S08000026,NA,Upper GI,NA,2,NA,2,NA
2018Q3,S08000026,S08000026,NA,Urological,NA,4,NA,4,NA
2018Q3,S08000028,S08000022,NA,Colorectal,NA,5,NA,3,NA
2018Q3,S08000028,S08000022,NA,Lung,NA,3,NA,3,NA
2018Q3,S08000028,S08000022,NA,Melanoma,NA,1,NA,1,NA
2018Q3,S08000028,S08000022,NA,Upper GI,NA,2,NA,2,NA
2018Q3,S08000028,S08000028,NA,Breast,NA,2,NA,2,NA
2018Q3,S08000028,S08000028,NA,Colorectal,NA,2,NA,2,NA
2018Q3,S08000028,S08000028,NA,Lung,NA,3,NA,3,NA
2018Q3,S08000028,S08000028,NA,Ovarian,NA,1,NA,1,NA
2018Q3,S08000028,S08000028,NA,Urological,NA,3,NA,3,NA
2018Q3,S08000028,S08000031,NA,Melanoma,NA,1,NA,0,NA
2018Q3,S08000028,S08000031,NA,Ovarian,NA,1,NA,1,NA
2018Q3,S08000028,S08000031,NA,Upper GI,NA,1,NA,1,NA
2018Q3,S08000028,SB0801,NA,Lung,NA,2,NA,2,NA
2018Q3,S08000029,S08000024,NA,Breast,NA,1,NA,1,NA
2018Q3,S08000029,S08000024,NA,Cervical,NA,4,NA,4,NA
2018Q3,S08000029,S08000024,NA,Colorectal,NA,9,NA,9,NA
2018Q3,S08000029,S08000024,NA,Head & Neck,NA,18,NA,18,NA
2018Q3,S08000029,S08000024,NA,Lung,NA,30,NA,28,NA
2018Q3,S08000029,S08000024,NA,Lymphoma,NA,1,NA,1,NA
2018Q3,S08000029,S08000024,NA,Ovarian,NA,1,NA,1,NA
2018Q3,S08000029,S08000024,NA,Upper GI,NA,8,NA,8,NA
2018Q3,S08000029,S08000024,NA,Urological,NA,14,NA,13,NA
2018Q3,S08000029,S08000029,NA,Breast,NA,48,NA,45,NA
2018Q3,S08000029,S08000029,NA,Cervical,NA,4,NA,4,NA
2018Q3,S08000029,S08000029,NA,Colorectal,NA,53,NA,53,NA
2018Q3,S08000029,S08000029,NA,Head & Neck,NA,8,NA,8,NA
2018Q3,S08000029,S08000029,NA,Lung,NA,56,NA,56,NA
2018Q3,S08000029,S08000029,NA,Lymphoma,NA,19,NA,19,NA
2018Q3,S08000029,S08000029,NA,Melanoma,NA,25,NA,25,NA
2018Q3,S08000029,S08000029,NA,Ovarian,NA,6,NA,5,NA
2018Q3,S08000029,S08000029,NA,Upper GI,NA,31,NA,31,NA
2018Q3,S08000029,S08000029,NA,Urological,NA,83,NA,72,NA
2018Q3,S08000029,S08000030,NA,Colorectal,NA,1,NA,1,NA
2018Q3,S08000029,S08000030,NA,Head & Neck,NA,7,NA,6,NA
2018Q3,S08000029,S08000030,NA,Lung,NA,3,NA,2,NA
2018Q3,S08000029,S08000030,NA,Melanoma,NA,4,NA,4,NA
2018Q3,S08000030,S08000024,NA,Lung,NA,12,NA,11,NA
2018Q3,S08000030,S08000024,NA,Urological,NA,1,NA,1,NA
2018Q3,S08000030,S08000030,NA,Breast,NA,112,NA,101,NA
2018Q3,S08000030,S08000030,NA,Cervical,NA,11,NA,11,NA
2018Q3,S08000030,S08000030,NA,Colorectal,NA,67,NA,64,NA
2018Q3,S08000030,S08000030,NA,Head & Neck,NA,22,NA,20,NA
2018Q3,S08000030,S08000030,NA,Lung,NA,61,NA,57,NA
2018Q3,S08000030,S08000030,NA,Lymphoma,NA,13,NA,13,NA
2018Q3,S08000030,S08000030,NA,Melanoma,NA,35,NA,33,NA
2018Q3,S08000030,S08000030,NA,Ovarian,NA,9,NA,9,NA
2018Q3,S08000030,S08000030,NA,Upper GI,NA,48,NA,48,NA
2018Q3,S08000030,S08000030,NA,Urological,NA,101,NA,95,NA
2018Q3,S08000031,S08000022,NA,Breast,NA,1,NA,1,NA
2018Q3,S08000031,S08000022,NA,Lung,NA,1,NA,1,NA
2018Q3,S08000031,S08000024,NA,Upper GI,NA,3,NA,2,NA
2018Q3,S08000031,S08000031,NA,Breast,NA,350,NA,316,NA
2018Q3,S08000031,S08000031,NA,Cervical,NA,9,NA,9,NA
2018Q3,S08000031,S08000031,NA,Colorectal,NA,198,NA,191,NA
2018Q3,S08000031,S08000031,NA,Head & Neck,NA,78,NA,78,NA
2018Q3,S08000031,S08000031,NA,Lung,NA,253,NA,240,NA
2018Q3,S08000031,S08000031,NA,Lymphoma,NA,77,NA,77,NA
2018Q3,S08000031,S08000031,NA,Melanoma,NA,84,NA,83,NA
2018Q3,S08000031,S08000031,NA,Ovarian,NA,25,NA,25,NA
2018Q3,S08000031,S08000031,NA,Upper GI,NA,142,NA,141,NA
2018Q3,S08000031,S08000031,NA,Urological,NA,392,NA,375,NA
2018Q3,S08000031,S08000032,NA,Breast,NA,27,NA,27,NA
2018Q3,S08000031,SB0801,NA,Lung,NA,65,NA,65,NA
2018Q3,S08000031,SB0801,NA,Upper GI,NA,1,NA,1,NA
2018Q3,S08000032,S08000031,NA,Breast,NA,9,NA,7,NA
2018Q3,S08000032,S08000031,NA,Cervical,NA,6,NA,6,NA
2018Q3,S08000032,S08000031,NA,Colorectal,NA,8,NA,8,NA
2018Q3,S08000032,S08000031,NA,Head & Neck,NA,11,NA,11,NA
2018Q3,S08000032,S08000031,NA,Lung,NA,18,NA,18,NA
2018Q3,S08000032,S08000031,NA,Lymphoma,NA,1,NA,1,NA
2018Q3,S08000032,S08000031,NA,Melanoma,NA,2,NA,2,NA
2018Q3,S08000032,S08000031,NA,Ovarian,NA,7,NA,7,NA
2018Q3,S08000032,S08000031,NA,Upper GI,NA,10,NA,10,NA
2018Q3,S08000032,S08000031,NA,Urological,NA,3,NA,2,NA
2018Q3,S08000032,S08000032,NA,Breast,NA,94,NA,94,NA
2018Q3,S08000032,S08000032,NA,Cervical,NA,1,NA,1,NA
2018Q3,S08000032,S08000032,NA,Colorectal,NA,72,NA,72,NA
2018Q3,S08000032,S08000032,NA,Head & Neck,NA,27,NA,26,NA
2018Q3,S08000032,S08000032,NA,Lung,NA,67,NA,67,NA
2018Q3,S08000032,S08000032,NA,Lymphoma,NA,18,NA,18,NA
2018Q3,S08000032,S08000032,NA,Melanoma,NA,43,NA,43,NA
2018Q3,S08000032,S08000032,NA,Ovarian,NA,2,NA,2,NA
2018Q3,S08000032,S08000032,NA,Upper GI,NA,38,NA,38,NA
2018Q3,S08000032,S08000032,NA,Urological,NA,121,NA,118,NA
2018Q3,S08000032,SB0801,NA,Lung,NA,23,NA,22,NA
2018Q4,S08000015,S08000015,NA,Breast,NA,107,NA,107,NA
2018Q4,S08000015,S08000015,NA,Cervical,NA,3,NA,3,NA
2018Q4,S08000015,S08000015,NA,Colorectal,NA,72,NA,71,NA
2018Q4,S08000015,S08000015,NA,Head & Neck,NA,16,NA,16,NA
2018Q4,S08000015,S08000015,NA,Lung,NA,48,NA,48,NA
2018Q4,S08000015,S08000015,NA,Lymphoma,NA,2,NA,2,NA
2018Q4,S08000015,S08000015,NA,Melanoma,NA,19,NA,19,NA
2018Q4,S08000015,S08000015,NA,Ovarian,NA,2,NA,2,NA
2018Q4,S08000015,S08000015,NA,Upper GI,NA,38,NA,38,NA
2018Q4,S08000015,S08000015,NA,Urological,NA,58,NA,57,NA
2018Q4,S08000015,S08000017,NA,Breast,NA,1,NA,1,NA
2018Q4,S08000015,S08000024,NA,Breast,NA,1,NA,1,NA
2018Q4,S08000015,S08000031,NA,Cervical,NA,5,NA,5,NA
2018Q4,S08000015,S08000031,NA,Colorectal,NA,9,NA,9,NA
2018Q4,S08000015,S08000031,NA,Head & Neck,NA,7,NA,7,NA
2018Q4,S08000015,S08000031,NA,Lung,NA,10,NA,10,NA
2018Q4,S08000015,S08000031,NA,Lymphoma,NA,1,NA,1,NA
2018Q4,S08000015,S08000031,NA,Ovarian,NA,11,NA,11,NA
2018Q4,S08000015,S08000031,NA,Upper GI,NA,6,NA,6,NA
2018Q4,S08000015,S08000031,NA,Urological,NA,3,NA,3,NA
2018Q4,S08000015,SB0801,NA,Lung,NA,10,NA,10,NA
2018Q4,S08000016,S08000016,NA,Breast,NA,22,NA,22,NA
2018Q4,S08000016,S08000016,NA,Colorectal,NA,12,NA,12,NA
2018Q4,S08000016,S08000016,NA,Lung,NA,8,NA,8,NA
2018Q4,S08000016,S08000016,NA,Lymphoma,NA,7,NA,7,NA
2018Q4,S08000016,S08000016,NA,Melanoma,NA,5,NA,5,NA
2018Q4,S08000016,S08000016,NA,Ovarian,NA,1,NA,1,NA
2018Q4,S08000016,S08000016,NA,Upper GI,NA,13,NA,13,NA
2018Q4,S08000016,S08000016,NA,Urological,NA,20,NA,20,NA
2018Q4,S08000016,S08000024,NA,Colorectal,NA,5,NA,4,NA
2018Q4,S08000016,S08000024,NA,Head & Neck,NA,2,NA,2,NA
2018Q4,S08000016,S08000024,NA,Lung,NA,12,NA,10,NA
2018Q4,S08000016,S08000024,NA,Melanoma,NA,1,NA,1,NA
2018Q4,S08000016,S08000024,NA,Ovarian,NA,1,NA,1,NA
2018Q4,S08000016,S08000024,NA,Upper GI,NA,3,NA,3,NA
2018Q4,S08000016,S08000024,NA,Urological,NA,10,NA,10,NA
2018Q4,S08000017,S08000017,NA,Breast,NA,35,NA,35,NA
2018Q4,S08000017,S08000017,NA,Colorectal,NA,27,NA,26,NA
2018Q4,S08000017,S08000017,NA,Head & Neck,NA,3,NA,3,NA
2018Q4,S08000017,S08000017,NA,Lung,NA,25,NA,25,NA
2018Q4,S08000017,S08000017,NA,Lymphoma,NA,11,NA,11,NA
2018Q4,S08000017,S08000017,NA,Melanoma,NA,12,NA,12,NA
2018Q4,S08000017,S08000017,NA,Ovarian,NA,1,NA,1,NA
2018Q4,S08000017,S08000017,NA,Upper GI,NA,19,NA,19,NA
2018Q4,S08000017,S08000017,NA,Urological,NA,44,NA,42,NA
2018Q4,S08000017,S08000024,NA,Breast,NA,3,NA,3,NA
2018Q4,S08000017,S08000024,NA,Colorectal,NA,1,NA,1,NA
2018Q4,S08000017,S08000024,NA,Head & Neck,NA,4,NA,4,NA
2018Q4,S08000017,S08000024,NA,Lung,NA,9,NA,9,NA
2018Q4,S08000017,S08000024,NA,Melanoma,NA,1,NA,1,NA
2018Q4,S08000017,S08000024,NA,Ovarian,NA,3,NA,3,NA
2018Q4,S08000017,S08000024,NA,Upper GI,NA,4,NA,4,NA
2018Q4,S08000017,S08000024,NA,Urological,NA,20,NA,18,NA
2018Q4,S08000017,S08000031,NA,Head & Neck,NA,2,NA,2,NA
2018Q4,S08000017,S08000031,NA,Urological,NA,1,NA,1,NA
2018Q4,S08000017,SB0801,NA,Lung,NA,3,NA,3,NA
2018Q4,S08000019,S08000019,NA,Breast,NA,47,NA,36,NA
2018Q4,S08000019,S08000019,NA,Cervical,NA,1,NA,1,NA
2018Q4,S08000019,S08000019,NA,Colorectal,NA,42,NA,42,NA
2018Q4,S08000019,S08000019,NA,Head & Neck,NA,4,NA,3,NA
2018Q4,S08000019,S08000019,NA,Lung,NA,37,NA,37,NA
2018Q4,S08000019,S08000019,NA,Lymphoma,NA,19,NA,19,NA
2018Q4,S08000019,S08000019,NA,Melanoma,NA,19,NA,18,NA
2018Q4,S08000019,S08000019,NA,Ovarian,NA,1,NA,1,NA
2018Q4,S08000019,S08000019,NA,Upper GI,NA,29,NA,29,NA
2018Q4,S08000019,S08000019,NA,Urological,NA,84,NA,82,NA
2018Q4,S08000019,S08000024,NA,Ovarian,NA,1,NA,1,NA
2018Q4,S08000019,S08000024,NA,Upper GI,NA,2,NA,2,NA
2018Q4,S08000019,S08000031,NA,Cervical,NA,3,NA,3,NA
2018Q4,S08000019,S08000031,NA,Colorectal,NA,2,NA,2,NA
2018Q4,S08000019,S08000031,NA,Head & Neck,NA,10,NA,10,NA
2018Q4,S08000019,S08000031,NA,Lung,NA,13,NA,11,NA
2018Q4,S08000019,S08000031,NA,Ovarian,NA,3,NA,3,NA
2018Q4,S08000019,S08000031,NA,Upper GI,NA,3,NA,3,NA
2018Q4,S08000019,S08000031,NA,Urological,NA,14,NA,9,NA
2018Q4,S08000019,S08000032,NA,Head & Neck,NA,1,NA,1,NA
2018Q4,S08000019,SB0801,NA,Lung,NA,4,NA,4,NA
2018Q4,S08000020,S08000020,NA,Breast,NA,113,NA,108,NA
2018Q4,S08000020,S08000020,NA,Cervical,NA,9,NA,9,NA
2018Q4,S08000020,S08000020,NA,Colorectal,NA,105,NA,99,NA
2018Q4,S08000020,S08000020,NA,Head & Neck,NA,32,NA,31,NA
2018Q4,S08000020,S08000020,NA,Lung,NA,112,NA,109,NA
2018Q4,S08000020,S08000020,NA,Lymphoma,NA,33,NA,31,NA
2018Q4,S08000020,S08000020,NA,Melanoma,NA,40,NA,38,NA
2018Q4,S08000020,S08000020,NA,Ovarian,NA,13,NA,13,NA
2018Q4,S08000020,S08000020,NA,Upper GI,NA,66,NA,66,NA
2018Q4,S08000020,S08000020,NA,Urological,NA,188,NA,143,NA
2018Q4,S08000020,S08000022,NA,Urological,NA,1,NA,1,NA
2018Q4,S08000020,S08000024,NA,Upper GI,NA,1,NA,1,NA
2018Q4,S08000020,S08000026,NA,Urological,NA,1,NA,1,NA
2018Q4,S08000022,S08000020,NA,Breast,NA,1,NA,1,NA
2018Q4,S08000022,S08000020,NA,Urological,NA,5,NA,1,NA
2018Q4,S08000022,S08000022,NA,Breast,NA,75,NA,75,NA
2018Q4,S08000022,S08000022,NA,Cervical,NA,4,NA,4,NA
2018Q4,S08000022,S08000022,NA,Colorectal,NA,45,NA,44,NA
2018Q4,S08000022,S08000022,NA,Head & Neck,NA,8,NA,8,NA
2018Q4,S08000022,S08000022,NA,Lung,NA,41,NA,41,NA
2018Q4,S08000022,S08000022,NA,Lymphoma,NA,21,NA,21,NA
2018Q4,S08000022,S08000022,NA,Melanoma,NA,20,NA,19,NA
2018Q4,S08000022,S08000022,NA,Ovarian,NA,4,NA,4,NA
2018Q4,S08000022,S08000022,NA,Upper GI,NA,37,NA,36,NA
2018Q4,S08000022,S08000022,NA,Urological,NA,61,NA,49,NA
2018Q4,S08000022,S08000028,NA,Urological,NA,1,NA,1,NA
2018Q4,S08000022,S08000030,NA,Lymphoma,NA,1,NA,1,NA
2018Q4,S08000022,S08000031,NA,Colorectal,NA,3,NA,3,NA
2018Q4,S08000022,S08000031,NA,Head & Neck,NA,2,NA,2,NA
2018Q4,S08000022,S08000031,NA,Lung,NA,2,NA,2,NA
2018Q4,S08000022,SB0801,NA,Lung,NA,10,NA,10,NA
2018Q4,S08000022,SB0801,NA,Melanoma,NA,1,NA,1,NA
2018Q4,S08000024,S08000019,NA,Breast,NA,1,NA,1,NA
2018Q4,S08000024,S08000024,NA,Breast,NA,240,NA,239,NA
2018Q4,S08000024,S08000024,NA,Cervical,NA,16,NA,16,NA
2018Q4,S08000024,S08000024,NA,Colorectal,NA,107,NA,91,NA
2018Q4,S08000024,S08000024,NA,Head & Neck,NA,50,NA,50,NA
2018Q4,S08000024,S08000024,NA,Lung,NA,178,NA,175,NA
2018Q4,S08000024,S08000024,NA,Lymphoma,NA,44,NA,44,NA
2018Q4,S08000024,S08000024,NA,Melanoma,NA,27,NA,27,NA
2018Q4,S08000024,S08000024,NA,Ovarian,NA,17,NA,15,NA
2018Q4,S08000024,S08000024,NA,Upper GI,NA,79,NA,79,NA
2018Q4,S08000024,S08000024,NA,Urological,NA,189,NA,175,NA
2018Q4,S08000024,S08000029,NA,Breast,NA,1,NA,1,NA
2018Q4,S08000025,S08000020,NA,Colorectal,NA,3,NA,2,NA
2018Q4,S08000025,S08000020,NA,Head & Neck,NA,1,NA,1,NA
2018Q4,S08000025,S08000020,NA,Lung,NA,1,NA,1,NA
2018Q4,S08000025,S08000020,NA,Lymphoma,NA,1,NA,1,NA
2018Q4,S08000025,S08000020,NA,Upper GI,NA,2,NA,2,NA
2018Q4,S08000025,S08000020,NA,Urological,NA,1,NA,0,NA
2018Q4,S08000025,S08000025,NA,Breast,NA,2,NA,2,NA
2018Q4,S08000025,S08000025,NA,Colorectal,NA,3,NA,2,NA
2018Q4,S08000025,S08000025,NA,Lung,NA,1,NA,1,NA
2018Q4,S08000025,S08000025,NA,Upper GI,NA,1,NA,1,NA
2018Q4,S08000025,S08000025,NA,Urological,NA,2,NA,2,NA
2018Q4,S08000026,S08000020,NA,Breast,NA,1,NA,1,NA
2018Q4,S08000026,S08000020,NA,Head & Neck,NA,2,NA,2,NA
2018Q4,S08000026,S08000020,NA,Lung,NA,1,NA,1,NA
2018Q4,S08000026,S08000020,NA,Upper GI,NA,1,NA,1,NA
2018Q4,S08000026,S08000020,NA,Urological,NA,1,NA,0,NA
2018Q4,S08000026,S08000026,NA,Breast,NA,2,NA,2,NA
2018Q4,S08000026,S08000026,NA,Cervical,NA,1,NA,1,NA
2018Q4,S08000026,S08000026,NA,Colorectal,NA,5,NA,5,NA
2018Q4,S08000026,S08000026,NA,Melanoma,NA,1,NA,1,NA
2018Q4,S08000026,S08000026,NA,Ovarian,NA,1,NA,1,NA
2018Q4,S08000026,S08000026,NA,Upper GI,NA,3,NA,3,NA
2018Q4,S08000026,S08000026,NA,Urological,NA,9,NA,8,NA
2018Q4,S08000028,S08000022,NA,Breast,NA,1,NA,1,NA
2018Q4,S08000028,S08000022,NA,Colorectal,NA,2,NA,1,NA
2018Q4,S08000028,S08000022,NA,Head & Neck,NA,1,NA,1,NA
2018Q4,S08000028,S08000022,NA,Lymphoma,NA,1,NA,1,NA
2018Q4,S08000028,S08000022,NA,Upper GI,NA,2,NA,2,NA
2018Q4,S08000028,S08000022,NA,Urological,NA,4,NA,2,NA
2018Q4,S08000028,S08000028,NA,Head & Neck,NA,1,NA,1,NA
2018Q4,S08000028,S08000028,NA,Lung,NA,1,NA,1,NA
2018Q4,S08000028,S08000028,NA,Melanoma,NA,1,NA,1,NA
2018Q4,S08000028,S08000028,NA,Upper GI,NA,1,NA,1,NA
2018Q4,S08000028,S08000028,NA,Urological,NA,3,NA,3,NA
2018Q4,S08000028,S08000031,NA,Colorectal,NA,1,NA,1,NA
2018Q4,S08000028,S08000031,NA,Lymphoma,NA,1,NA,1,NA
2018Q4,S08000028,S08000031,NA,Upper GI,NA,1,NA,1,NA
2018Q4,S08000028,SB0801,NA,Lung,NA,3,NA,3,NA
2018Q4,S08000029,S08000024,NA,Breast,NA,1,NA,1,NA
2018Q4,S08000029,S08000024,NA,Colorectal,NA,6,NA,6,NA
2018Q4,S08000029,S08000024,NA,Head & Neck,NA,5,NA,5,NA
2018Q4,S08000029,S08000024,NA,Lung,NA,37,NA,32,NA
2018Q4,S08000029,S08000024,NA,Upper GI,NA,12,NA,12,NA
2018Q4,S08000029,S08000024,NA,Urological,NA,5,NA,5,NA
2018Q4,S08000029,S08000029,NA,Breast,NA,51,NA,45,NA
2018Q4,S08000029,S08000029,NA,Cervical,NA,1,NA,1,NA
2018Q4,S08000029,S08000029,NA,Colorectal,NA,70,NA,70,NA
2018Q4,S08000029,S08000029,NA,Head & Neck,NA,1,NA,1,NA
2018Q4,S08000029,S08000029,NA,Lung,NA,50,NA,50,NA
2018Q4,S08000029,S08000029,NA,Lymphoma,NA,19,NA,19,NA
2018Q4,S08000029,S08000029,NA,Melanoma,NA,16,NA,16,NA
2018Q4,S08000029,S08000029,NA,Ovarian,NA,6,NA,5,NA
2018Q4,S08000029,S08000029,NA,Upper GI,NA,35,NA,35,NA
2018Q4,S08000029,S08000029,NA,Urological,NA,90,NA,82,NA
2018Q4,S08000029,S08000030,NA,Breast,NA,1,NA,1,NA
2018Q4,S08000029,S08000030,NA,Cervical,NA,1,NA,1,NA
2018Q4,S08000029,S08000030,NA,Head & Neck,NA,6,NA,6,NA
2018Q4,S08000029,S08000030,NA,Lung,NA,1,NA,1,NA
2018Q4,S08000030,S08000020,NA,Cervical,NA,1,NA,0,NA
2018Q4,S08000030,S08000020,NA,Ovarian,NA,1,NA,1,NA
2018Q4,S08000030,S08000024,NA,Lung,NA,16,NA,13,NA
2018Q4,S08000030,S08000024,NA,Urological,NA,1,NA,1,NA
2018Q4,S08000030,S08000030,NA,Breast,NA,110,NA,101,NA
2018Q4,S08000030,S08000030,NA,Cervical,NA,10,NA,9,NA
2018Q4,S08000030,S08000030,NA,Colorectal,NA,78,NA,75,NA
2018Q4,S08000030,S08000030,NA,Head & Neck,NA,16,NA,13,NA
2018Q4,S08000030,S08000030,NA,Lung,NA,83,NA,76,NA
2018Q4,S08000030,S08000030,NA,Lymphoma,NA,18,NA,18,NA
2018Q4,S08000030,S08000030,NA,Melanoma,NA,41,NA,37,NA
2018Q4,S08000030,S08000030,NA,Ovarian,NA,6,NA,6,NA
2018Q4,S08000030,S08000030,NA,Upper GI,NA,48,NA,48,NA
2018Q4,S08000030,S08000030,NA,Urological,NA,102,NA,83,NA
2018Q4,S08000031,S08000024,NA,Urological,NA,1,NA,1,NA
2018Q4,S08000031,S08000030,NA,Lung,NA,1,NA,1,NA
2018Q4,S08000031,S08000031,NA,Breast,NA,346,NA,310,NA
2018Q4,S08000031,S08000031,NA,Cervical,NA,15,NA,15,NA
2018Q4,S08000031,S08000031,NA,Colorectal,NA,205,NA,202,NA
2018Q4,S08000031,S08000031,NA,Head & Neck,NA,83,NA,83,NA
2018Q4,S08000031,S08000031,NA,Lung,NA,251,NA,238,NA
2018Q4,S08000031,S08000031,NA,Lymphoma,NA,76,NA,76,NA
2018Q4,S08000031,S08000031,NA,Melanoma,NA,71,NA,70,NA
2018Q4,S08000031,S08000031,NA,Ovarian,NA,31,NA,31,NA
2018Q4,S08000031,S08000031,NA,Upper GI,NA,136,NA,133,NA
2018Q4,S08000031,S08000031,NA,Urological,NA,404,NA,371,NA
2018Q4,S08000031,S08000032,NA,Breast,NA,46,NA,43,NA
2018Q4,S08000031,S08000032,NA,Lung,NA,1,NA,1,NA
2018Q4,S08000031,SB0801,NA,Lung,NA,34,NA,34,NA
2018Q4,S08000032,S08000024,NA,Upper GI,NA,2,NA,2,NA
2018Q4,S08000032,S08000031,NA,Breast,NA,3,NA,2,NA
2018Q4,S08000032,S08000031,NA,Cervical,NA,10,NA,10,NA
2018Q4,S08000032,S08000031,NA,Colorectal,NA,12,NA,11,NA
2018Q4,S08000032,S08000031,NA,Head & Neck,NA,13,NA,13,NA
2018Q4,S08000032,S08000031,NA,Lung,NA,32,NA,27,NA
2018Q4,S08000032,S08000031,NA,Lymphoma,NA,3,NA,3,NA
2018Q4,S08000032,S08000031,NA,Melanoma,NA,2,NA,2,NA
2018Q4,S08000032,S08000031,NA,Ovarian,NA,9,NA,9,NA
2018Q4,S08000032,S08000031,NA,Upper GI,NA,20,NA,20,NA
2018Q4,S08000032,S08000031,NA,Urological,NA,12,NA,12,NA
2018Q4,S08000032,S08000032,NA,Breast,NA,77,NA,77,NA
2018Q4,S08000032,S08000032,NA,Cervical,NA,2,NA,2,NA
2018Q4,S08000032,S08000032,NA,Colorectal,NA,56,NA,56,NA
2018Q4,S08000032,S08000032,NA,Head & Neck,NA,26,NA,26,NA
2018Q4,S08000032,S08000032,NA,Lung,NA,91,NA,91,NA
2018Q4,S08000032,S08000032,NA,Lymphoma,NA,30,NA,30,NA
2018Q4,S08000032,S08000032,NA,Melanoma,NA,36,NA,36,NA
2018Q4,S08000032,S08000032,NA,Ovarian,NA,4,NA,4,NA
2018Q4,S08000032,S08000032,NA,Upper GI,NA,41,NA,41,NA
2018Q4,S08000032,S08000032,NA,Urological,NA,108,NA,106,NA
2018Q4,S08000032,SB0801,NA,Lung,NA,24,NA,24,NA
2019Q1,S08000015,S08000015,NA,Breast,NA,93,NA,91,NA
2019Q1,S08000015,S08000015,NA,Cervical,NA,3,NA,3,NA
2019Q1,S08000015,S08000015,NA,Colorectal,NA,46,NA,45,NA
2019Q1,S08000015,S08000015,NA,Head & Neck,NA,11,NA,10,NA
2019Q1,S08000015,S08000015,NA,Lung,NA,44,NA,44,NA
2019Q1,S08000015,S08000015,NA,Lymphoma,NA,5,NA,5,NA
2019Q1,S08000015,S08000015,NA,Melanoma,NA,20,NA,20,NA
2019Q1,S08000015,S08000015,NA,Ovarian,NA,8,NA,8,NA
2019Q1,S08000015,S08000015,NA,Upper GI,NA,27,NA,27,NA
2019Q1,S08000015,S08000015,NA,Urological,NA,87,NA,85,NA
2019Q1,S08000015,S08000017,NA,Breast,NA,1,NA,1,NA
2019Q1,S08000015,S08000031,NA,Breast,NA,2,NA,1,NA
2019Q1,S08000015,S08000031,NA,Cervical,NA,4,NA,4,NA
2019Q1,S08000015,S08000031,NA,Colorectal,NA,1,NA,1,NA
2019Q1,S08000015,S08000031,NA,Head & Neck,NA,8,NA,8,NA
2019Q1,S08000015,S08000031,NA,Lung,NA,6,NA,6,NA
2019Q1,S08000015,S08000031,NA,Ovarian,NA,2,NA,2,NA
2019Q1,S08000015,S08000031,NA,Upper GI,NA,10,NA,10,NA
2019Q1,S08000015,S08000031,NA,Urological,NA,8,NA,8,NA
2019Q1,S08000015,SB0801,NA,Lung,NA,5,NA,5,NA
